Model,AIC,MAE,MSE
"ARIMA(1,0,1)(1,1,1)[52]",-2310.784816,0.042588301,0.003320887
"ARIMA(1,0,1)(1,1,2)[52]",-2308.140939,0.043021021,0.003362925
"ARIMA(1,0,1)(2,1,1)[52]",-2309.821972,0.04257966,0.003273437
"ARIMA(1,0,1)(2,1,2)[52]",-2309.230531,0.042618639,0.003285866
"ARIMA(1,0,2)(1,1,1)[52]",-2320.714917,0.04251356,0.003289566
"ARIMA(1,0,2)(1,1,2)[52]",-2317.9969,0.043055913,0.003325937
"ARIMA(1,0,2)(2,1,1)[52]",-2318.993296,0.042365996,0.003240311
"ARIMA(1,0,2)(2,1,2)[52]",-2319.139976,0.042391094,0.003244592
"ARIMA(2,0,1)(1,1,1)[52]",-2300.915406,0.042689762,0.003346233
"ARIMA(2,0,1)(1,1,2)[52]",-2304.594879,0.042779146,0.003328752
"ARIMA(2,0,1)(2,1,1)[52]",-2303.197661,0.043387266,0.003397167
"ARIMA(2,0,1)(2,1,2)[52]",-2299.829188,0.042747826,0.003316597
"ARIMA(2,0,2)(1,1,1)[52]",-2320.573188,0.042647201,0.003285119
"ARIMA(2,0,2)(1,1,2)[52]",-2317.138578,0.043340557,0.003350998
"ARIMA(2,0,2)(2,1,1)[52]",-2318.956193,0.042305432,0.003230153
"ARIMA(2,0,2)(2,1,2)[52]",-2317.726633,0.042396038,0.003255666
"ARIMA(1,1,1)(1,1,1)[52]",-2303.033339,0.066495752,0.006472342
"ARIMA(1,1,1)(1,1,2)[52]",-2299.23785,0.07059082,0.007092443
"ARIMA(1,1,1)(2,1,1)[52]",-2300.507348,0.066048332,0.006528808
"ARIMA(1,1,1)(1,1,2)[52]",-2301.882179,0.06674342,0.006535629
"ARIMA(1,1,2)(1,1,1)[52]",-2297.765811,0.084087536,0.009429627
"ARIMA(1,1,2)(1,1,2)[52]",-2293.557024,0.089994795,0.010494289
"ARIMA(1,1,2)(2,1,1)[52]",-2293.973316,0.077484638,0.008390668
"ARIMA(1,1,2)(2,1,2)[52]",-2294.968483,0.077274191,0.008243531
"ARIMA(2,1,1)(1,1,1)[52]",-2265.012696,0.061150461,0.005751231
"ARIMA(2,1,1)(1,1,2)[52]",-2297.468038,0.072226476,0.007360547
"ARIMA(2,1,1)(2,1,1)[52]",-2299.059426,0.066417806,0.006579184
"ARIMA(2,1,1)(2,1,2)[52]",-2300.090326,0.065619355,0.006372174
"ARIMA(2,1,2)(1,1,1)[52]",-2295.598328,0.087473165,0.01003968
"ARIMA(2,1,2)(1,1,2)[52]",-2289.370634,0.103382274,0.01325594
"ARIMA(2,1,2)(2,1,1)[52]",-2297.489389,0.066874819,0.006574416
"ARIMA(2,1,2)(2,1,2)[52]",-2294.389231,0.079734999,0.008644619
